"date","region_municipality_code","weeknumber","RNA_value","municipality_name","Security_region_name","sum_population","Total_reported","Hospital_admission","Deceased","population","reported_norm","hospital_norm","deceased_norm"
2020-10-12,"VR16","42",37327940198965.5,"Hollands-Midden","Hollands-Midden",389061660,2878,25,13,5662020,0.739728504731101,0.00642571668459956,0.00334137267599177
2020-10-12,"VR17","42",32763969159000,"Rotterdam-Rijnmond","Rotterdam-Rijnmond",636571754,6171,70,15,9264038,0.96941153314195,0.0109964037141365,0.00235637222445783
2020-10-12,"VR18","42",39469236371363.6,"Zuid-Holland-Zuid","Zuid-Holland-Zuid",220957451,1539,1,10,3215597,0.696514189965017,0.000452575821939582,0.00452575821939582
2020-10-12,"VR19","42",19111479251818.2,"Zeeland","Zeeland",184457728,468,3,5,2684416,0.253716667268069,0.00162638889274403,0.00271064815457339
2020-10-12,"VR20","42",45766796836969.7,"Midden- en West-Brabant","Midden- en West-Brabant",538280847,3539,33,18,7833609,0.657463482069612,0.0061306286827627,0.00334397928150693
2020-10-12,"VR21","42",14567238368333.3,"Brabant-Noord","Brabant-Noord",312114647,1892,9,4,4542209,0.606187507758968,0.00288355579800777,0.00128158035467012
2020-10-12,"VR22","42",31365432916666.7,"Brabant-Zuidoost","Brabant-Zuidoost",375473891,2372,13,4,5464277,0.631735003912695,0.00346229133678965,0.00106532041131989
2020-10-12,"VR23","42",13120701425384.6,"Limburg-Noord","Limburg-Noord",250128177,1254,10,3,3640119,0.501342957454969,0.00399795021893915,0.00119938506568174
2020-10-12,"VR24","42",13106785183750,"Limburg-Zuid","Limburg-Zuid",287245504,799,9,4,4180288,0.278159271032489,0.00313320830950238,0.0013925370264455
2020-10-12,"VR25","42",45188988474285.7,"Flevoland","Flevoland",203473101,955,20,1,2961147,0.4693495087589,0.00982930908395602,0.000491465454197801
2020-10-19,"VR01","43",17164043048225.8,"Groningen","Groningen",281643297,900,11,4,4098759,0.319553140297175,0.00390564949252103,0.00142023617909856
2020-10-19,"VR02","43",16373978182909.1,"Fryslân","Fryslân",312629317,985,8,9,4549699,0.315069619654385,0.0025589410733351,0.00287880870750199
2020-10-19,"VR03","43",26825179726136.4,"Drenthe","Drenthe",237461042,1075,11,5,3455774,0.452705837953832,0.00463233880696944,0.00210560854862247
